Date,AAPL,MSFT,KO,NKE
2012-01-01,56.60617446899414,24.291141510009766,25.962932586669922,21.686840057373047
2012-02-01,67.2657241821289,26.109073638916016,26.85873031616211,22.50642967224121
2012-03-01,74.34770202636719,26.71152114868164,28.45426368713379,22.6148738861084
2012-04-01,72.41693115234375,26.512798309326172,29.77532196044922,23.64571189880371
2012-05-01,71.64187622070312,24.169538497924805,29.155006408691406,22.865760803222656
2012-06-01,72.41940307617188,25.494945526123047,30.504878997802734,18.803159713745117
2012-07-01,75.73780822753906,24.561492919921875,31.956588745117188,19.996292114257812
2012-08-01,82.49364471435547,25.686635971069336,29.583576202392578,20.855260848999023
2012-09-01,83.07947540283203,24.96750259399414,30.002803802490234,20.63149642944336
2012-10-01,74.14010620117188,23.943965911865234,29.609464645385742,19.864151000976562
2012-11-01,72.8897476196289,22.333173751831055,30.19879150390625,21.190156936645508
2012-12-01,66.57821655273438,22.592805862426758,29.066909790039062,22.433574676513672
2013-01-01,56.98501205444336,23.2187442779541,29.860727310180664,23.909961700439453
2013-02-01,55.222259521484375,23.51479148864746,31.047468185424805,24.091327667236328
2013-03-01,55.702640533447266,24.400293350219727,32.426631927490234,26.307432174682617
2013-04-01,55.717735290527344,28.229629516601562,34.18783187866211,28.353717803955078
2013-05-01,56.592308044433594,29.764772415161133,32.297935485839844,27.48884391784668
2013-06-01,50.22809600830078,29.664308547973633,32.39484405517578,28.58013153076172
2013-07-01,57.321556091308594,27.34544563293457,32.5943603515625,28.239032745361328
2013-08-01,61.71572494506836,28.685232162475586,31.0492000579834,28.194156646728516
2013-09-01,60.7882080078125,28.7835750579834,30.805252075195312,32.8189582824707
2013-10-01,66.64710235595703,30.625797271728516,32.41363525390625,34.228599548339844
2013-11-01,70.90194702148438,32.97831726074219,32.92151641845703,35.75570297241211
2013-12-01,71.95076751708984,32.6009521484375,34.07600784301758,35.5297966003418
2014-01-01,64.20189666748047,32.975685119628906,31.19715690612793,33.12074661254883
2014-02-01,67.49018859863281,33.38527297973633,31.510608673095703,35.59856033325195
2014-03-01,69.2488784790039,35.988624572753906,31.89005470275879,33.78673553466797
2014-04-01,76.1319580078125,35.470603942871094,33.913658142089844,33.37046432495117
2014-05-01,81.66809844970703,35.94471740722656,34.0134162902832,35.18194580078125
2014-06-01,84.39596557617188,36.87027359008789,35.2189826965332,35.69938278198242
2014-07-01,86.8207778930664,38.16118240356445,32.91219711303711,35.50602722167969
2014-08-01,93.08712768554688,40.16825485229492,34.9477424621582,36.15971755981445
2014-09-01,91.95294952392578,41.24656295776367,35.73516082763672,41.311073303222656
2014-10-01,98.56988525390625,41.771484375,35.33734893798828,43.057071685791016
2014-11-01,108.54553985595703,42.53663635253906,37.82650375366211,45.984046936035156
2014-12-01,101.1789321899414,41.587284088134766,35.870479583740234,44.52981185913086
2015-01-01,107.39376831054688,36.170650482177734,34.9783821105957,42.97001266479492
2015-02-01,117.7518081665039,39.25947189331055,36.78805923461914,45.23847198486328
2015-03-01,114.50788116455078,36.66249465942383,34.45162582397461,47.005558013916016
2015-04-01,115.17047882080078,43.857940673828125,34.74606704711914,46.307472229003906
2015-05-01,119.89141082763672,42.2529411315918,35.08872985839844,47.633358001708984
2015-06-01,115.9103012084961,40.06809997558594,33.60670852661133,50.88547897338867
2015-07-01,112.09375,42.38233947753906,35.481868743896484,54.277225494384766
2015-08-01,104.34978485107422,39.496337890625,33.961692810058594,52.64259719848633
2015-09-01,102.3899917602539,40.43280792236328,34.65268325805664,57.928043365478516
2015-10-01,110.93023681640625,48.08817672729492,36.895694732666016,62.03874206542969
2015-11-01,109.8162841796875,49.65031433105469,37.130924224853516,62.63057327270508
2015-12-01,98.12966918945312,51.024227142333984,37.71415710449219,59.183719635009766
2016-01-01,90.74617767333984,50.66554260253906,37.679046630859375,59.00509262084961
2016-02-01,90.14021301269531,46.79366683959961,37.86341094970703,58.60544204711914
2016-03-01,102.15835571289062,51.158992767333984,40.7253303527832,58.49126052856445
2016-04-01,87.8642349243164,46.1940803527832,39.63620376586914,56.22845458984375
2016-05-01,93.60064697265625,49.093379974365234,39.45924377441406,52.67959976196289
2016-06-01,90.1532211303711,47.72978210449219,40.10511779785156,52.660518646240234
2016-07-01,98.2726821899414,52.86933517456055,38.89707565307617,53.10138702392578
2016-08-01,100.05500030517578,53.596900939941406,38.718772888183594,55.14889907836914
2016-09-01,107.18655395507812,54.062355041503906,37.729183197021484,50.37456130981445
2016-10-01,107.651123046875,56.23986053466797,38.109336853027344,48.14495086669922
2016-11-01,104.78775024414062,56.55897903442383,36.266788482666016,48.03941345214844
2016-12-01,110.37667846679688,58.71752166748047,38.06895446777344,48.76859664916992
2017-01-01,115.64677429199219,61.08927917480469,37.67919921875,50.93775939941406
2017-02-01,130.55174255371094,60.4561882019043,38.03269958496094,55.03974151611328
2017-03-01,137.50184631347656,62.609928131103516,38.467769622802734,53.66279220581055
2017-04-01,137.4922637939453,65.08162689208984,39.45652770996094,53.52090072631836
2017-05-01,146.21173095703125,66.39351654052734,41.57794189453125,51.183406829833984
2017-06-01,138.41537475585938,65.9040298461914,41.011009216308594,56.98851013183594
2017-07-01,142.94207763671875,69.50852966308594,42.261226654052734,57.23120880126953
2017-08-01,157.61782836914062,71.48765563964844,41.99386978149414,51.18340301513672
2017-09-01,148.7039794921875,71.59940338134766,41.49602127075195,50.425662994384766
2017-10-01,163.09967041015625,79.95218658447266,42.72759246826172,53.479408264160156
2017-11-01,165.8109588623047,80.90376281738281,42.53244400024414,58.76023483276367
