Date,GFNORTEO.MX,GFINBURO.MX,GAPB.MX,HERDEZ.MX
2012-01-01,42.68397521972656,24.21458625793457,33.52837371826172,21.37897491455078
2012-02-01,42.7332763671875,22.78278350830078,33.04056167602539,22.007768630981445
2012-03-01,46.88265609741211,23.90841293334961,32.49091339111328,22.21736717224121
2012-04-01,51.78773498535156,25.79947853088379,34.820030212402344,24.145668029785156
2012-05-01,52.8511848449707,26.66396141052246,35.06737518310547,23.977989196777344
2012-06-01,56.995811462402344,27.315475463867188,37.55232620239258,26.406723022460938
2012-07-01,58.87252426147461,31.55078125,37.11921691894531,28.003206253051758
2012-08-01,55.61512756347656,32.57090759277344,36.95592498779297,27.05394744873047
2012-09-01,60.15397644042969,32.807716369628906,38.51793670654297,28.581392288208008
2012-10-01,60.14570617675781,31.76028060913086,44.53881072998047,30.609355926513672
2012-11-01,61.426734924316406,32.65287399291992,47.48000717163086,31.101247787475586
2012-12-01,69.158935546875,35.71323013305664,52.69428634643555,34.25969696044922
2013-01-01,72.6562728881836,32.45249938964844,56.741085052490234,34.67392349243164
2013-02-01,78.7589340209961,32.807716369628906,56.54768753051758,33.35358810424805
2013-03-01,81.94782257080078,32.81682586669922,52.15709686279297,39.1786003112793
2013-04-01,76.03509521484375,32.406959533691406,49.786319732666016,38.16029739379883
2013-05-01,68.02081298828125,26.70522689819336,49.79887771606445,34.51858901977539
2013-06-01,63.83553695678711,26.334585189819336,48.197914123535156,36.44194793701172
2013-07-01,67.52157592773438,27.558378219604492,48.82948303222656,36.151466369628906
2013-08-01,69.62838745117188,26.205764770507812,48.93230056762695,37.58626174926758
2013-09-01,68.16061401367188,27.595184326171875,49.03511428833008,38.99464416503906
2013-10-01,69.45325469970703,30.926111221313477,49.85028839111328,39.945308685302734
2013-11-01,74.91880798339844,31.855457305908203,50.606719970703125,40.53506851196289
2013-12-01,76.37338256835938,33.98099899291992,51.728271484375,40.904762268066406
2014-01-01,71.18978118896484,30.686872482299805,53.75886154174805,36.890872955322266
2014-02-01,72.7056884765625,29.2054386138916,52.68426513671875,30.658771514892578
2014-03-01,74.2269058227539,30.916908264160156,56.486087799072266,34.126914978027344
2014-04-01,73.29727172851562,30.788084030151367,58.30916976928711,34.2237434387207
2014-05-01,78.76116180419922,32.416744232177734,58.58338165283203,35.12158966064453
2014-06-01,78.6001968383789,35.79631805419922,66.81033325195312,34.813507080078125
2014-07-01,74.42411041259766,37.45217514038086,67.71791076660156,32.92979049682617
2014-08-01,78.140625,36.959136962890625,69.83090209960938,32.23440170288086
2014-09-01,72.81807708740234,35.824222564697266,69.76936340332031,31.66224479675293
2014-10-01,73.33589935302734,37.61962127685547,70.48482513427734,30.2098445892334
2014-11-01,67.08318328857422,34.912567138671875,72.98509979248047,31.671051025390625
2014-12-01,69.12632751464844,35.42421340942383,71.3310775756836,31.195714950561523
2015-01-01,64.75910949707031,35.954463958740234,76.23931884765625,30.324275970458984
2015-02-01,69.32891845703125,39.05221939086914,77.97026062011719,32.92979049682617
2015-03-01,75.58806610107422,35.83352279663086,76.93170166015625,34.59343719482422
2015-04-01,74.70000457763672,34.075340270996094,84.0324935913086,36.75002670288086
2015-05-01,74.43699645996094,32.717159271240234,84.28636932373047,35.12158966064453
2015-06-01,73.84614562988281,33.51303482055664,82.8708267211914,36.19613265991211
2015-07-01,72.61309051513672,34.41625213623047,97.84942626953125,39.02058792114258
2015-08-01,69.0528793334961,33.25900650024414,103.10386657714844,37.095645904541016
2015-09-01,71.10530090332031,32.87325668334961,114.65940856933594,40.2169303894043
2015-10-01,76.38668060302734,31.245590209960938,116.02421569824219,41.089447021484375
2015-11-01,76.85040283203125,29.83431625366211,118.81099700927734,40.32486343383789
2015-12-01,81.821044921875,29.260398864746094,119.79582214355469,40.270896911621094
2016-01-01,81.51095581054688,27.41633415222168,120.0242919921875,38.98460388183594
2016-02-01,78.91825103759766,30.464685440063477,112.93346405029297,34.478084564208984
2016-03-01,84.3489990234375,32.44987869262695,121.44246673583984,34.280189514160156
2016-04-01,84.55677795410156,31.781871795654297,127.71392822265625,34.25320053100586
2016-05-01,83.55252838134766,28.95932960510254,147.0088653564453,35.38356018066406
2016-06-01,88.755615234375,29.55816650390625,150.8877410888672,36.529659271240234
2016-07-01,89.32633209228516,28.7286319732666,148.19647216796875,35.35626983642578
2016-08-01,88.03893280029297,31.27444839477539,150.02813720703125,36.79343795776367
2016-09-01,89.90914916992188,29.176773071289062,149.65643310546875,38.797096252441406
2016-10-01,98.42434692382812,29.24351692199707,148.50216674804688,42.18356704711914
2016-11-01,87.2033920288086,26.75490951538086,142.42196655273438,38.244956970214844
2016-12-01,90.4573745727539,29.910959243774414,145.2996063232422,34.656036376953125
2017-01-01,88.3794174194336,29.472354888916016,132.7230987548828,34.09469985961914
2017-02-01,88.2909927368164,27.3460750579834,142.7859649658203,34.40757751464844
2017-03-01,95.19688415527344,29.586772918701172,149.60406494140625,35.63148880004883
2017-04-01,97.54430389404297,30.311426162719727,159.03440856933594,38.50262451171875
2017-05-01,96.18342590332031,29.462818145751953,153.169189453125,36.16522216796875
2017-06-01,103.31011199951172,29.97691535949707,170.65321350097656,36.494632720947266
2017-07-01,108.32624053955078,31.108301162719727,170.210693359375,37.378395080566406
2017-08-01,111.9059066772461,28.913219451904297,164.6583709716797,40.727386474609375
2017-09-01,115.26528930664062,32.2106819152832,160.23146057128906,40.9599494934082
2017-10-01,104.43449401855469,31.862560272216797,156.30303955078125,38.15982437133789
2017-11-01,104.81082153320312,31.833547592163086,159.44921875,40.10210418701172
